table,state,columns,parent,inbound,schema,contract,referenced_by,declared_reason
marketing.review_response,childOfWiredParent,7,marketing.review,0,MarketingReviewResponse,satellite/marketing-crm.yaml,,
marketing.sla_policy,unreferenced,12,,0,MarketingSlaPolicy,satellite/marketing-crm.yaml,,
marketing.waiver_signature,unreferenced,15,,0,MarketingWaiverSignature,satellite/marketing-crm.yaml,,
orders.deposit,unreferenced,14,,0,OrdersDeposit,spine/orders.yaml,,
orders.discount,unreferenced,9,,0,OrdersDiscount,spine/orders.yaml,,
orders.order_fee,unreferenced,11,,0,OrdersOrderFee,spine/orders.yaml,,
orders.payment_tip,childOfWiredParent,2,orders.payment,0,,,,
orders.upgrade,referenced,15,,1,OrdersUpgrade,spine/orders.yaml,access.access_change,
payments.currency_rule,unreferenced,12,,0,PaymentsCurrencyRule,satellite/payments.yaml,,
payments.deposit_activity,unreferenced,9,,0,PaymentsDepositActivity,satellite/payments.yaml,,
payments.eligibility_rule,unreferenced,14,,0,PaymentsEligibilityRule,satellite/payments.yaml,,
payments.fee_rule,unreferenced,16,,0,PaymentsFeeRule,satellite/payments.yaml,,
payments.method_config,childOfWiredParent,11,payments.method,0,PaymentsMethodConfig,satellite/payments.yaml,,
platform.cell_endpoint,unreferenced,11,,0,PlatformCellEndpoint,spine/tenancy.yaml,,
platform.sale_board_page,storageOnly,4,platform.sale_board,1,,,platform.sale_board_tile,"Child tables of `sale_board`, which the API returns as one nested object. The split is a storage decision"
platform.sale_board_tile,storageOnly,2,,0,,,,"Child tables of `sale_board`, which the API returns as one nested object. The split is a storage decision"
pricing.dynamic_price_action,unreferenced,6,,0,PricingDynamicPriceAction,spine/catalogue.yaml,,
pricing.dynamic_price_condition,unreferenced,7,,0,PricingDynamicPriceCondition,spine/catalogue.yaml,,
pricing.dynamic_price_rule,unreferenced,11,,0,PricingDynamicPriceRule,spine/catalogue.yaml,,
rental.agreement,referenced,13,,3,RentalAgreement,satellite/rental.yaml,orders.deposit rental.agreement_item subscription.partner_quote,
rental.agreement_item,childOfUnwiredParent,19,rental.agreement,1,RentalAgreementItem,satellite/rental.yaml,rental.inspection_item,
rental.inspection_item,childOfWiredParent,9,rental.inspection,0,RentalInspectionItem,satellite/rental.yaml,,
retail.product_recommendation,unreferenced,17,,0,RetailProductRecommendation,satellite/retail.yaml,,
retail.reservation_line,childOfWiredParent,5,retail.reservation,0,,,,
retail.return_line,childOfWiredParent,9,retail.return,0,,,,
retail.sale_line,childOfWiredParent,13,retail.sale,0,,,,
retail.shop_and_drop_line,childOfWiredParent,8,retail.shop_and_drop,0,,,,
seating.seat_block_item,childOfWiredParent,4,seating.seat,0,SeatingSeatBlockItem,satellite/seating.yaml,,
seating.seat_hold_item,childOfWiredParent,5,seating.seat,0,SeatingSeatHoldItem,satellite/seating.yaml,,
seating.section_row,childOfWiredParent,5,seating.section,0,,,,
subscription.tier_allowance,unreferenced,10,,0,SubscriptionTierAllowance,satellite/subscription.yaml,,
subscription.tier_module,unreferenced,8,,0,SubscriptionTierModule,satellite/subscription.yaml,,
sync.cell_connection,unreferenced,9,,0,SyncCellConnection,spine/cross-region.yaml,,
sync.cross_cell_request,unreferenced,13,,0,SyncCrossCellRequest,spine/cross-region.yaml,,
wallet.balance,unreferenced,9,,0,WalletBalance,satellite/wallet.yaml,,
wallet.hold,referenced,12,,2,WalletHold,satellite/wallet.yaml,control.rollout seating.seat_hold_item,
